LAMMPS data file via write_data, version 22 Jun 2018, timestep = 1000

9280 atoms
2 atom types

-3.0000000000000000e+01 3.0000000000000000e+01 xlo xhi
-5.0000000000000000e+00 5.0000000000000000e+00 ylo yhi
-2.5000000000000000e+00 2.5000000000000000e+00 zlo zhi

Masses

1 1
2 1

Atoms 

97 2 -2.9784515578996498e+01 -4.5342235718516655e+00 -2.0987879912828258e+00
1954 2 -2.9456642741102886e+01 -4.4871674857359869e+00 -2.4254955574157457e+00
1526 2 -2.9208955776138296e+01 -4.8839123587493898e+00 -2.1056944975791252e+00
678 2 -2.8863195838076379e+01 -4.4766447774632612e+00 -2.1527284134221363e+00
2288 2 -2.8058045886273515e+01 -4.9994469292980783e+00 -2.3594299882872183e+00
1884 2 -2.8416388558829006e+01 -4.9142727482641746e+00 -2.1389758394960889e+00
1530 2 -2.7902839296559169e+01 -4.4003646231417877e+00 -2.1629044851570929e+00
378 2 -2.7997418851035263e+01 -4.8788418808027512e+00 -1.8941241677287466e+00
1329 2 -2.7339540969256937e+01 -4.9320850486047547e+00 -2.1633921033102026e+00
2057 2 -2.7143876016559418e+01 -4.4626438090235485e+00 -1.9237310443862696e+00
2123 2 -2.6982423734878711e+01 -4.5366273817298710e+00 -2.4764846881763223e+00
2491 2 -2.6499158831819720e+01 -4.3634044091555770e+00 -2.0526074119113229e+00
2411 2 -2.6679756033861434e+01 -4.8263814475977487e+00 -2.2020473153483655e+00
2065 2 -2.6197601477916436e+01 -4.8027342015292955e+00 -2.1830804087371307e+00
1077 2 -2.5697043865339445e+01 -4.5092673462412112e+00 -1.8541852399738745e+00
868 2 -2.5529606168717063e+01 -4.9445543664466642e+00 -1.9799527726874555e+00
610 2 -2.5505396114437396e+01 -4.3407185908568495e+00 -2.3452498096669196e+00
1016 2 -2.5037669922661497e+01 -4.3554996662730598e+00 -2.2045498493343452e+00
1325 2 -2.5021002043538616e+01 -4.9364751954781996e+00 -2.4062918922681837e+00
731 2 -2.4888270110193179e+01 -4.9465477351474609e+00 -1.7943920827897346e+00
1314 2 -2.4610258951565246e+01 -4.5072379838705654e+00 -1.8913343375037808e+00
1277 2 -2.4607165424790800e+01 -4.8016122639812506e+00 -2.3900695001418795e+00
446 2 -2.4319860189031825e+01 -4.9712836186963667e+00 -2.0075425296609213e+00
268 2 -2.4123947391312456e+01 -4.4567569349316187e+00 -2.3408373682127031e+00
2241 2 -2.3830520021805150e+01 -4.8300121730322800e+00 -2.1173393307852488e+00
20 2 -2.3273936784059536e+01 -4.8323758288034533e+00 -2.4001353508822887e+00
1087 2 -2.2906221887018564e+01 -4.6236130785072680e+00 -1.9903195855501621e+00
503 2 -2.3387180668880976e+01 -4.4393320442424953e+00 -2.2781421239162460e+00
880 2 -2.2344381740847787e+01 -4.6765227615243079e+00 -1.7875498294194334e+00
2571 2 -2.2448404517615117e+01 -4.9791761974933682e+00 -2.3124614992330406e+00
2286 2 -2.2566790650669258e+01 -4.3550120521793296e+00 -2.2428189035407122e+00
1376 2 -2.2708260985980040e+01 -4.9671695704387560e+00 -2.0601677857195275e+00
616 2 -2.1885056346170757e+01 -4.6425872617071446e+00 -2.0368596223142030e+00
1504 2 -2.0949354338973084e+01 -4.9562857223056564e+00 -2.2008269384402155e+00
758 2 -2.1408488025287859e+01 -4.4964231917804449e+00 -1.9344374508150286e+00
191 2 -2.1372776624500752e+01 -4.9900748629932385e+00 -2.3345690518749129e+00
1650 2 -2.0821540282053778e+01 -4.4207405156862301e+00 -1.8670802571110647e+00
